Strain,Region,year,Dkl,Lowerbound,Upperbound
Bk79,B*,1974,0.148,0.128,0.196
Bk79,non-epitope,1974,0.007,0.007,0.009
Bk79,OtherbutB*,1974,0.021,0.021,0.024
Bk79,OtherEpibutB*,1974,0.15,0.143,0.165
Bk79,A,1975,0.18,0.157,0.216
Bk79,B,1975,0.128,0.099,0.171
Bk79,C,1975,0.185,0.135,0.236
Bk79,D,1975,0.123,0.088,0.198
Bk79,E,1975,0.138,0.122,0.164
Bk79,B*,1975,0.244,0.188,0.327
Bk79,non-epitope,1975,0.006,0.006,0.009
Bk79,OtherbutB*,1975,0.019,0.018,0.022
Bk79,OtherEpibutB*,1975,0.136,0.124,0.159
Bk79,A,1976,0.092,0.076,0.121
Bk79,B,1976,0.092,0.074,0.112
Bk79,C,1976,0.078,0.055,0.122
Bk79,D,1976,0.183,0.159,0.24
Bk79,E,1976,0.085,0.071,0.104
Bk79,B*,1976,0.168,0.136,0.218
Bk79,non-epitope,1976,0.005,0.004,0.006
Bk79,OtherbutB*,1976,0.014,0.013,0.016
Bk79,OtherEpibutB*,1976,0.1,0.093,0.118
Bk79,A,1977,0.066,0.043,0.09
Bk79,B,1977,0.064,0.047,0.093
Bk79,C,1977,0.048,0.031,0.088
Bk79,D,1977,0.125,0.1,0.173
Bk79,E,1977,0.049,0.034,0.07
Bk79,B*,1977,0.113,0.07,0.18
Bk79,non-epitope,1977,0.004,0.004,0.006
Bk79,OtherbutB*,1977,0.01,0.01,0.013
Bk79,OtherEpibutB*,1977,0.067,0.059,0.083
Bk79,A,1978,0.,0.,0.011
Bk79,B,1978,0.,0.,0.017
Bk79,C,1978,0.,0.,0.04
Bk79,D,1978,0.,0.,0.026
Bk79,E,1978,0.,0.,0.
Bk79,B*,1978,0.,0.,0.036
Bk79,non-epitope,1978,0.,0.,0.002
Bk79,OtherbutB*,1978,0.,0.,0.003
Bk79,OtherEpibutB*,1978,0.,0.,0.011
Bk79,A,1979,0.142,0.115,0.173
Bk79,B,1979,0.108,0.083,0.15
Bk79,C,1979,0.04,0.016,0.087
Bk79,D,1979,0.18,0.151,0.238
Bk79,E,1979,0.,0.,0.
Bk79,B*,1979,0.098,0.053,0.168
Bk79,non-epitope,1979,0.003,0.002,0.005
Bk79,OtherbutB*,1979,0.012,0.011,0.015
Bk79,OtherEpibutB*,1979,0.097,0.085,0.12
Bk79,A,1980,0.135,0.119,0.157
Bk79,B,1980,0.098,0.077,0.135
Bk79,C,1980,0.04,0.016,0.087
Bk79,D,1980,0.178,0.151,0.227
Bk79,E,1980,0.014,0.003,0.031
Bk79,B*,1980,0.052,0.008,0.129
Bk79,non-epitope,1980,0.004,0.003,0.006
Bk79,OtherbutB*,1980,0.013,0.012,0.016
Bk79,OtherEpibutB*,1980,0.1,0.091,0.122
Bk79,A,1981,0.173,0.173,0.173
Bk79,B,1981,0.1,0.08,0.13
Bk79,C,1981,0.04,0.016,0.087
Bk79,D,1981,0.168,0.144,0.211
Bk79,E,1981,0.053,0.053,0.053
Bk79,B*,1981,0.076,0.022,0.115
Bk79,non-epitope,1981,0.003,0.002,0.006
Bk79,OtherbutB*,1981,0.014,0.013,0.017
Bk79,OtherEpibutB*,1981,0.114,0.104,0.13
Bk79,A,1982,0.129,0.104,0.166
Bk79,B,1982,0.083,0.061,0.124
Bk79,C,1982,0.058,0.028,0.114
Bk79,D,1982,0.259,0.223,0.316
Bk79,E,1982,0.021,0.007,0.039
Bk79,B*,1982,0.062,0.026,0.14
Bk79,non-epitope,1982,0.005,0.004,0.007
Bk79,OtherbutB*,1982,0.015,0.015,0.019
Bk79,OtherEpibutB*,1982,0.115,0.106,0.141
Bk79,A,1983,0.158,0.133,0.184
Bk79,B,1983,0.095,0.073,0.137
