Strain,Region,year,Dkl,Lowerbound,Upperbound
NDako16,E,1968,0.518,0.513,0.524
NDako16,B*,1968,0.658,0.656,0.66
NDako16,non-epitope,1968,0.043,0.042,0.043
NDako16,OtherbutB*,1968,0.089,0.089,0.09
NDako16,OtherEpibutB*,1968,0.519,0.516,0.52
NDako16,A,1969,0.497,0.496,0.498
NDako16,B,1969,0.509,0.508,0.51
NDako16,C,1969,0.679,0.678,0.681
NDako16,D,1969,0.518,0.517,0.519
NDako16,E,1969,0.51,0.492,0.54
NDako16,B*,1969,0.658,0.656,0.66
NDako16,non-epitope,1969,0.042,0.041,0.043
NDako16,OtherbutB*,1969,0.088,0.087,0.09
NDako16,OtherEpibutB*,1969,0.517,0.513,0.525
NDako16,A,1970,0.497,0.496,0.498
NDako16,B,1970,0.509,0.508,0.51
NDako16,C,1970,0.679,0.678,0.681
NDako16,D,1970,0.518,0.518,0.519
NDako16,E,1970,0.53,0.529,0.53
NDako16,B*,1970,0.658,0.656,0.66
NDako16,non-epitope,1970,0.042,0.041,0.042
NDako16,OtherbutB*,1970,0.089,0.089,0.09
NDako16,OtherEpibutB*,1970,0.522,0.521,0.522
NDako16,A,1971,0.484,0.467,0.506
NDako16,B,1971,0.49,0.479,0.51
NDako16,C,1971,0.655,0.634,0.68
NDako16,D,1971,0.493,0.474,0.518
NDako16,E,1971,0.484,0.477,0.494
NDako16,B*,1971,0.66,0.657,0.664
NDako16,non-epitope,1971,0.041,0.04,0.042
NDako16,OtherbutB*,1971,0.085,0.085,0.087
NDako16,OtherEpibutB*,1971,0.493,0.487,0.504
NDako16,A,1972,0.455,0.439,0.476
NDako16,B,1972,0.498,0.488,0.511
NDako16,C,1972,0.599,0.593,0.607
NDako16,D,1972,0.412,0.407,0.418
NDako16,E,1972,0.481,0.477,0.488
NDako16,B*,1972,0.659,0.657,0.661
NDako16,non-epitope,1972,0.039,0.038,0.039
NDako16,OtherbutB*,1972,0.08,0.08,0.081
NDako16,OtherEpibutB*,1972,0.463,0.458,0.47
NDako16,A,1973,0.443,0.441,0.453
NDako16,B,1973,0.513,0.509,0.519
NDako16,C,1973,0.593,0.592,0.595
NDako16,D,1973,0.404,0.404,0.404
NDako16,E,1973,0.451,0.437,0.476
NDako16,B*,1973,0.658,0.656,0.66
NDako16,non-epitope,1973,0.037,0.037,0.038
NDako16,OtherbutB*,1973,0.078,0.078,0.079
NDako16,OtherEpibutB*,1973,0.455,0.452,0.461
NDako16,A,1974,0.4,0.388,0.415
NDako16,B,1974,0.498,0.485,0.513
NDako16,C,1974,0.593,0.591,0.594
NDako16,D,1974,0.375,0.355,0.404
NDako16,E,1974,0.386,0.377,0.404
NDako16,B*,1974,0.629,0.592,0.668
NDako16,non-epitope,1974,0.037,0.036,0.038
NDako16,OtherbutB*,1974,0.075,0.074,0.076
NDako16,OtherEpibutB*,1974,0.423,0.417,0.431
NDako16,A,1975,0.392,0.367,0.433
NDako16,B,1975,0.469,0.448,0.498
NDako16,C,1975,0.567,0.536,0.594
NDako16,D,1975,0.37,0.348,0.416
NDako16,E,1975,0.399,0.386,0.422
NDako16,B*,1975,0.59,0.562,0.63
NDako16,non-epitope,1975,0.036,0.036,0.038
NDako16,OtherbutB*,1975,0.074,0.073,0.076
NDako16,OtherEpibutB*,1975,0.415,0.404,0.44
NDako16,A,1976,0.379,0.368,0.394
NDako16,B,1976,0.482,0.471,0.5
NDako16,C,1976,0.504,0.487,0.53
NDako16,D,1976,0.438,0.409,0.468
NDako16,E,1976,0.339,0.322,0.364
NDako16,B*,1976,0.636,0.612,0.665
NDako16,non-epitope,1976,0.034,0.034,0.035
NDako16,OtherbutB*,1976,0.071,0.07,0.072
NDako16,OtherEpibutB*,1976,0.403,0.397,0.416
NDako16,A,1977,0.358,0.336,0.386
NDako16,B,1977,0.472,0.461,0.489
NDako16,C,1977,0.469,0.45,0.5
NDako16,D,1977,0.414,0.386,0.454
NDako16,E,1977,0.34,0.327,0.357
NDako16,B*,1977,0.662,0.659,0.667
NDako16,non-epitope,1977,0.035,0.035,0.036
NDako16,OtherbutB*,1977,0.069,0.069,0.071
NDako16,OtherEpibutB*,1977,0.382,0.375,0.394
NDako16,A,1978,0.382,0.377,0.396
NDako16,B,1978,0.463,0.462,0.47
NDako16,C,1978,0.472,0.449,0.519
NDako16,D,1978,0.429,0.413,0.46
NDako16,E,1978,0.308,0.307,0.309
NDako16,B*,1978,0.666,0.664,0.668
NDako16,non-epitope,1978,0.034,0.033,0.036
NDako16,OtherbutB*,1978,0.068,0.068,0.07
NDako16,OtherEpibutB*,1978,0.381,0.376,0.392
NDako16,A,1979,0.379,0.377,0.384
NDako16,B,1979,0.509,0.507,0.51
NDako16,C,1979,0.433,0.433,0.434
NDako16,D,1979,0.314,0.288,0.346
NDako16,E,1979,0.308,0.307,0.309
NDako16,B*,1979,0.666,0.664,0.668
NDako16,non-epitope,1979,0.033,0.032,0.033
NDako16,OtherbutB*,1979,0.065,0.064,0.066
NDako16,OtherEpibutB*,1979,0.362,0.357,0.37
NDako16,A,1980,0.342,0.327,0.364
NDako16,B,1980,0.487,0.477,0.507
NDako16,C,1980,0.433,0.433,0.434
NDako16,D,1980,0.345,0.344,0.346
NDako16,E,1980,0.321,0.311,0.339
NDako16,B*,1980,0.665,0.664,0.668
NDako16,non-epitope,1980,0.033,0.033,0.034
NDako16,OtherbutB*,1980,0.065,0.064,0.066
NDako16,OtherEpibutB*,1980,0.358,0.353,0.367
NDako16,A,1981,0.321,0.32,0.322
NDako16,B,1981,0.509,0.507,0.51
NDako16,C,1981,0.433,0.433,0.434
NDako16,D,1981,0.346,0.345,0.346
NDako16,E,1981,0.361,0.36,0.362
NDako16,B*,1981,0.666,0.664,0.668
NDako16,non-epitope,1981,0.032,0.031,0.033
NDako16,OtherbutB*,1981,0.065,0.064,0.066
NDako16,OtherEpibutB*,1981,0.369,0.368,0.369
NDako16,A,1982,0.308,0.273,0.343
NDako16,B,1982,0.478,0.464,0.503
NDako16,C,1982,0.373,0.358,0.404
NDako16,D,1982,0.253,0.239,0.271
NDako16,E,1982,0.313,0.307,0.326
NDako16,B*,1982,0.666,0.664,0.668
NDako16,non-epitope,1982,0.032,0.031,0.033
NDako16,OtherbutB*,1982,0.06,0.059,0.061
NDako16,OtherEpibutB*,1982,0.317,0.311,0.33
NDako16,A,1983,0.357,0.338,0.378
NDako16,B,1983,0.493,0.477,0.509
NDako16,C,1983,0.363,0.347,0.387
NDako16,D,1983,0.245,0.232,0.264
NDako16,E,1983,0.311,0.306,0.325
NDako16,B*,1983,0.666,0.664,0.668
NDako16,non-epitope,1983,0.029,0.028,0.03
NDako16,OtherbutB*,1983,0.059,0.057,0.06
NDako16,OtherEpibutB*,1983,0.328,0.32,0.341
NDako16,A,1984,0.378,0.376,0.378
NDako16,B,1984,0.508,0.507,0.51
NDako16,C,1984,0.347,0.346,0.348
NDako16,D,1984,0.285,0.284,0.286
NDako16,E,1984,0.308,0.307,0.309
NDako16,B*,1984,0.666,0.664,0.668
NDako16,non-epitope,1984,0.028,0.028,0.029
NDako16,OtherbutB*,1984,0.059,0.059,0.06
NDako16,OtherEpibutB*,1984,0.343,0.342,0.343
NDako16,A,1985,0.366,0.353,0.378
NDako16,B,1985,0.455,0.446,0.472
NDako16,C,1985,0.344,0.342,0.348
NDako16,D,1985,0.237,0.229,0.25
NDako16,E,1985,0.308,0.307,0.309
NDako16,B*,1985,0.614,0.592,0.646
NDako16,non-epitope,1985,0.029,0.028,0.029
NDako16,OtherbutB*,1985,0.057,0.057,0.058
NDako16,OtherEpibutB*,1985,0.32,0.316,0.325
NDako16,A,1986,0.379,0.376,0.382
NDako16,B,1986,0.45,0.441,0.469
NDako16,C,1986,0.347,0.346,0.348
NDako16,D,1986,0.228,0.227,0.228
NDako16,E,1986,0.308,0.307,0.309
NDako16,B*,1986,0.592,0.583,0.613
NDako16,non-epitope,1986,0.03,0.029,0.031
NDako16,OtherbutB*,1986,0.059,0.058,0.06
NDako16,OtherEpibutB*,1986,0.322,0.32,0.327
NDako16,A,1987,0.378,0.376,0.379
NDako16,B,1987,0.482,0.478,0.494
NDako16,C,1987,0.347,0.346,0.348
NDako16,D,1987,0.234,0.227,0.25
NDako16,E,1987,0.254,0.252,0.256
NDako16,B*,1987,0.599,0.588,0.628
NDako16,non-epitope,1987,0.028,0.028,0.029
NDako16,OtherbutB*,1987,0.057,0.056,0.058
NDako16,OtherEpibutB*,1987,0.319,0.317,0.323
NDako16,A,1988,0.38,0.377,0.387
NDako16,B,1988,0.468,0.458,0.48
NDako16,C,1988,0.329,0.311,0.348
NDako16,D,1988,0.227,0.227,0.228
NDako16,E,1988,0.254,0.238,0.273
NDako16,B*,1988,0.583,0.58,0.589
NDako16,non-epitope,1988,0.029,0.029,0.029
NDako16,OtherbutB*,1988,0.057,0.056,0.058
NDako16,OtherEpibutB*,1988,0.313,0.308,0.322
NDako16,A,1989,0.407,0.387,0.428
NDako16,B,1989,0.479,0.478,0.48
NDako16,C,1989,0.267,0.261,0.276
NDako16,D,1989,0.227,0.227,0.228
NDako16,E,1989,0.245,0.235,0.264
NDako16,B*,1989,0.588,0.588,0.59
NDako16,non-epitope,1989,0.027,0.027,0.028
NDako16,OtherbutB*,1989,0.055,0.055,0.056
NDako16,OtherEpibutB*,1989,0.31,0.306,0.316
NDako16,A,1990,0.438,0.434,0.444
NDako16,B,1990,0.464,0.451,0.478
NDako16,C,1990,0.262,0.26,0.271
NDako16,D,1990,0.227,0.226,0.228
NDako16,E,1990,0.242,0.227,0.26
NDako16,B*,1990,0.55,0.515,0.584
NDako16,non-epitope,1990,0.027,0.026,0.028
NDako16,OtherbutB*,1990,0.055,0.054,0.056
NDako16,OtherEpibutB*,1990,0.316,0.312,0.321
NDako16,A,1991,0.428,0.418,0.438
NDako16,B,1991,0.468,0.463,0.475
NDako16,C,1991,0.257,0.256,0.26
NDako16,D,1991,0.228,0.226,0.232
NDako16,E,1991,0.257,0.254,0.261
NDako16,B*,1991,0.561,0.544,0.58
NDako16,non-epitope,1991,0.027,0.026,0.027
NDako16,OtherbutB*,1991,0.055,0.055,0.056
NDako16,OtherEpibutB*,1991,0.316,0.314,0.319
NDako16,A,1992,0.419,0.409,0.431
NDako16,B,1992,0.444,0.437,0.456
NDako16,C,1992,0.259,0.258,0.26
NDako16,D,1992,0.228,0.226,0.23
NDako16,E,1992,0.259,0.255,0.263
NDako16,B*,1992,0.526,0.507,0.551
NDako16,non-epitope,1992,0.027,0.027,0.027
NDako16,OtherbutB*,1992,0.055,0.055,0.055
NDako16,OtherEpibutB*,1992,0.312,0.309,0.315
NDako16,A,1993,0.424,0.418,0.431
NDako16,B,1993,0.399,0.395,0.403
NDako16,C,1993,0.26,0.258,0.263
NDako16,D,1993,0.228,0.227,0.23
NDako16,E,1993,0.247,0.241,0.253
NDako16,B*,1993,0.47,0.467,0.474
NDako16,non-epitope,1993,0.028,0.027,0.028
NDako16,OtherbutB*,1993,0.055,0.054,0.055
NDako16,OtherEpibutB*,1993,0.303,0.3,0.306
NDako16,A,1994,0.43,0.429,0.432
NDako16,B,1994,0.388,0.38,0.398
NDako16,C,1994,0.257,0.256,0.26
NDako16,D,1994,0.229,0.222,0.235
NDako16,E,1994,0.249,0.244,0.254
NDako16,B*,1994,0.448,0.436,0.465
NDako16,non-epitope,1994,0.029,0.029,0.03
NDako16,OtherbutB*,1994,0.056,0.056,0.057
NDako16,OtherEpibutB*,1994,0.304,0.302,0.307
NDako16,A,1995,0.419,0.41,0.432
NDako16,B,1995,0.364,0.36,0.371
NDako16,C,1995,0.27,0.264,0.277
NDako16,D,1995,0.187,0.183,0.192
NDako16,E,1995,0.232,0.224,0.24
NDako16,B*,1995,0.452,0.442,0.466
NDako16,non-epitope,1995,0.029,0.028,0.029
NDako16,OtherbutB*,1995,0.054,0.053,0.054
NDako16,OtherEpibutB*,1995,0.283,0.28,0.287
NDako16,A,1996,0.273,0.262,0.285
NDako16,B,1996,0.348,0.342,0.356
NDako16,C,1996,0.25,0.239,0.259
NDako16,D,1996,0.156,0.147,0.168
NDako16,E,1996,0.174,0.167,0.183
NDako16,B*,1996,0.427,0.414,0.44
NDako16,non-epitope,1996,0.028,0.028,0.029
NDako16,OtherbutB*,1996,0.048,0.047,0.048
NDako16,OtherEpibutB*,1996,0.226,0.221,0.231
NDako16,A,1997,0.24,0.23,0.25
NDako16,B,1997,0.327,0.32,0.334
NDako16,C,1997,0.212,0.202,0.226
NDako16,D,1997,0.155,0.143,0.166
NDako16,E,1997,0.15,0.142,0.159
NDako16,B*,1997,0.375,0.365,0.389
NDako16,non-epitope,1997,0.029,0.028,0.029
NDako16,OtherbutB*,1997,0.046,0.046,0.047
NDako16,OtherEpibutB*,1997,0.206,0.202,0.212
NDako16,A,1998,0.21,0.201,0.218
NDako16,B,1998,0.318,0.313,0.324
NDako16,C,1998,0.178,0.173,0.183
NDako16,D,1998,0.149,0.141,0.157
NDako16,E,1998,0.143,0.137,0.15
NDako16,B*,1998,0.346,0.342,0.352
NDako16,non-epitope,1998,0.029,0.029,0.029
NDako16,OtherbutB*,1998,0.045,0.045,0.046
NDako16,OtherEpibutB*,1998,0.193,0.19,0.196
NDako16,A,1999,0.173,0.17,0.176
NDako16,B,1999,0.288,0.283,0.293
NDako16,C,1999,0.168,0.167,0.169
NDako16,D,1999,0.122,0.117,0.125
NDako16,E,1999,0.119,0.117,0.123
NDako16,B*,1999,0.336,0.328,0.342
NDako16,non-epitope,1999,0.029,0.028,0.029
NDako16,OtherbutB*,1999,0.042,0.042,0.042
NDako16,OtherEpibutB*,1999,0.164,0.163,0.166
NDako16,A,2000,0.169,0.167,0.172
NDako16,B,2000,0.284,0.281,0.287
NDako16,C,2000,0.17,0.168,0.172
NDako16,D,2000,0.11,0.106,0.113
NDako16,E,2000,0.13,0.127,0.134
NDako16,B*,2000,0.331,0.325,0.34
NDako16,non-epitope,2000,0.03,0.03,0.03
NDako16,OtherbutB*,2000,0.043,0.043,0.043
NDako16,OtherEpibutB*,2000,0.163,0.162,0.165
NDako16,A,2001,0.171,0.169,0.173
NDako16,B,2001,0.254,0.25,0.259
NDako16,C,2001,0.162,0.156,0.169
NDako16,D,2001,0.109,0.104,0.116
NDako16,E,2001,0.102,0.096,0.109
NDako16,B*,2001,0.332,0.323,0.341
NDako16,non-epitope,2001,0.027,0.027,0.028
NDako16,OtherbutB*,2001,0.039,0.039,0.039
NDako16,OtherEpibutB*,2001,0.147,0.144,0.149
NDako16,A,2002,0.159,0.155,0.164
NDako16,B,2002,0.228,0.224,0.232
NDako16,C,2002,0.168,0.166,0.17
NDako16,D,2002,0.112,0.11,0.114
NDako16,E,2002,0.079,0.074,0.085
NDako16,B*,2002,0.324,0.317,0.333
NDako16,non-epitope,2002,0.027,0.027,0.028
NDako16,OtherbutB*,2002,0.038,0.038,0.038
NDako16,OtherEpibutB*,2002,0.133,0.132,0.135
NDako16,A,2003,0.122,0.12,0.126
NDako16,B,2003,0.159,0.157,0.16
NDako16,C,2003,0.146,0.142,0.149
NDako16,D,2003,0.096,0.094,0.1
NDako16,E,2003,0.01,0.01,0.012
NDako16,B*,2003,0.224,0.219,0.228
NDako16,non-epitope,2003,0.019,0.019,0.02
NDako16,OtherbutB*,2003,0.027,0.026,0.027
NDako16,OtherEpibutB*,2003,0.093,0.092,0.094
NDako16,A,2004,0.102,0.099,0.105
NDako16,B,2004,0.169,0.167,0.172
NDako16,C,2004,0.147,0.142,0.153
NDako16,D,2004,0.072,0.07,0.075
NDako16,E,2004,0.007,0.007,0.008
NDako16,B*,2004,0.255,0.25,0.261
NDako16,non-epitope,2004,0.018,0.018,0.018
NDako16,OtherbutB*,2004,0.025,0.024,0.025
NDako16,OtherEpibutB*,2004,0.082,0.081,0.084
NDako16,A,2005,0.076,0.073,0.081
NDako16,B,2005,0.162,0.159,0.165
NDako16,C,2005,0.153,0.148,0.157
NDako16,D,2005,0.056,0.054,0.058
NDako16,E,2005,0.006,0.006,0.008
NDako16,B*,2005,0.226,0.219,0.235
NDako16,non-epitope,2005,0.018,0.018,0.018
NDako16,OtherbutB*,2005,0.023,0.023,0.024
NDako16,OtherEpibutB*,2005,0.075,0.074,0.076
NDako16,A,2006,0.091,0.086,0.096
NDako16,B,2006,0.135,0.132,0.14
NDako16,C,2006,0.111,0.104,0.118
NDako16,D,2006,0.055,0.052,0.057
NDako16,E,2006,0.005,0.005,0.007
NDako16,B*,2006,0.182,0.174,0.193
NDako16,non-epitope,2006,0.017,0.017,0.017
NDako16,OtherbutB*,2006,0.022,0.022,0.022
NDako16,OtherEpibutB*,2006,0.069,0.067,0.071
NDako16,A,2007,0.093,0.091,0.096
NDako16,B,2007,0.142,0.141,0.144
NDako16,C,2007,0.094,0.092,0.096
NDako16,D,2007,0.05,0.048,0.053
NDako16,E,2007,0.008,0.007,0.009
NDako16,B*,2007,0.188,0.185,0.191
NDako16,non-epitope,2007,0.015,0.015,0.015
NDako16,OtherbutB*,2007,0.02,0.02,0.02
NDako16,OtherEpibutB*,2007,0.068,0.067,0.069
NDako16,A,2008,0.096,0.093,0.099
NDako16,B,2008,0.146,0.144,0.149
NDako16,C,2008,0.1,0.096,0.104
NDako16,D,2008,0.038,0.035,0.041
NDako16,E,2008,0.029,0.027,0.031
NDako16,B*,2008,0.198,0.195,0.201
NDako16,non-epitope,2008,0.015,0.015,0.015
NDako16,OtherbutB*,2008,0.02,0.02,0.021
NDako16,OtherEpibutB*,2008,0.071,0.071,0.073
NDako16,A,2009,0.099,0.097,0.102
NDako16,B,2009,0.076,0.075,0.078
NDako16,C,2009,0.082,0.081,0.083
NDako16,D,2009,0.009,0.008,0.01
NDako16,E,2009,0.011,0.01,0.012
NDako16,B*,2009,0.102,0.099,0.105
NDako16,non-epitope,2009,0.013,0.013,0.013
NDako16,OtherbutB*,2009,0.016,0.016,0.016
NDako16,OtherEpibutB*,2009,0.049,0.049,0.05
NDako16,A,2010,0.095,0.093,0.097
NDako16,B,2010,0.062,0.06,0.063
NDako16,C,2010,0.096,0.093,0.099
NDako16,D,2010,0.003,0.002,0.003
NDako16,E,2010,0.017,0.016,0.019
NDako16,B*,2010,0.083,0.08,0.086
NDako16,non-epitope,2010,0.012,0.012,0.012
NDako16,OtherbutB*,2010,0.016,0.016,0.016
NDako16,OtherEpibutB*,2010,0.048,0.048,0.049
NDako16,A,2011,0.071,0.069,0.073
NDako16,B,2011,0.062,0.061,0.064
NDako16,C,2011,0.076,0.074,0.079
NDako16,D,2011,0.003,0.003,0.004
NDako16,E,2011,0.015,0.014,0.016
NDako16,B*,2011,0.083,0.081,0.086
NDako16,non-epitope,2011,0.01,0.009,0.01
NDako16,OtherbutB*,2011,0.013,0.012,0.013
NDako16,OtherEpibutB*,2011,0.04,0.039,0.041
NDako16,A,2012,0.058,0.057,0.06
NDako16,B,2012,0.062,0.061,0.064
NDako16,C,2012,0.041,0.039,0.043
NDako16,D,2012,0.004,0.004,0.005
NDako16,E,2012,0.008,0.008,0.009
NDako16,B*,2012,0.081,0.079,0.083
NDako16,non-epitope,2012,0.007,0.007,0.007
NDako16,OtherbutB*,2012,0.009,0.009,0.009
NDako16,OtherEpibutB*,2012,0.031,0.031,0.032
NDako16,A,2013,0.041,0.039,0.042
NDako16,B,2013,0.056,0.055,0.058
NDako16,C,2013,0.004,0.004,0.005
NDako16,D,2013,0.002,0.002,0.002
NDako16,E,2013,0.005,0.004,0.006
NDako16,B*,2013,0.078,0.076,0.081
NDako16,non-epitope,2013,0.004,0.004,0.004
NDako16,OtherbutB*,2013,0.005,0.005,0.006
NDako16,OtherEpibutB*,2013,0.019,0.019,0.019
NDako16,A,2014,0.016,0.015,0.017
NDako16,B,2014,0.015,0.014,0.016
NDako16,C,2014,0.001,0.001,0.002
NDako16,D,2014,0.001,0.001,0.001
NDako16,E,2014,0.002,0.002,0.002
NDako16,B*,2014,0.017,0.016,0.019
NDako16,non-epitope,2014,0.002,0.002,0.002
NDako16,OtherbutB*,2014,0.002,0.002,0.002
NDako16,OtherEpibutB*,2014,0.007,0.007,0.007
NDako16,A,2015,0.,0.,0.
NDako16,B,2015,0.,0.,0.
NDako16,C,2015,0.,0.,0.
NDako16,D,2015,0.,0.,0.
NDako16,E,2015,0.,0.,0.
NDako16,B*,2015,0.,0.,0.
NDako16,non-epitope,2015,0.,0.,0.
NDako16,OtherbutB*,2015,0.,0.,0.
NDako16,OtherEpibutB*,2015,0.,0.,0.
NDako16,A,2016,0.008,0.008,0.009
NDako16,B,2016,0.008,0.007,0.008
NDako16,C,2016,0.002,0.001,0.002
NDako16,D,2016,0.012,0.011,0.012
NDako16,E,2016,0.006,0.005,0.006
NDako16,B*,2016,0.006,0.006,0.007
NDako16,non-epitope,2016,0.002,0.002,0.002
NDako16,OtherbutB*,2016,0.002,0.002,0.002
NDako16,OtherEpibutB*,2016,0.007,0.007,0.008
NDako16,A,2017,0.027,0.026,0.028
NDako16,B,2017,0.01,0.01,0.011
NDako16,C,2017,0.003,0.002,0.003
NDako16,D,2017,0.023,0.023,0.024
NDako16,E,2017,0.013,0.013,0.014
NDako16,B*,2017,0.01,0.009,0.01
NDako16,non-epitope,2017,0.002,0.002,0.002
NDako16,OtherbutB*,2017,0.004,0.004,0.004
NDako16,OtherEpibutB*,2017,0.016,0.016,0.017
NDako16,A,2018,0.056,0.055,0.058
NDako16,B,2018,0.01,0.01,0.011
NDako16,C,2018,0.002,0.002,0.003
NDako16,D,2018,0.014,0.014,0.015
NDako16,E,2018,0.023,0.023,0.025
NDako16,B*,2018,0.011,0.01,0.012
NDako16,non-epitope,2018,0.002,0.002,0.003
NDako16,OtherbutB*,2018,0.004,0.004,0.005
NDako16,OtherEpibutB*,2018,0.023,0.023,0.024
