Background	Year	MeanPref	StdPref
Bei89	1974	-0.70179139027	0.0
Bei89	1975	-0.70179139027	0.0
Bei89	1976	0.525156323623	0.0
Bei89	1977	0.395055441382	0.130100882241
Bei89	1978	0.738309680616	0.213153356993
Bei89	1979	1.80407646558	0.0
Bei89	1980	1.64421144784	0.159865017745
Bei89	1981	1.80407646558	0.0
Bei89	1982	1.37776975159	0.269620039603
Bei89	1983	1.59092310859	0.213153356993
Bei89	1984	1.80407646558	0.0
Bei89	1985	1.14526475936	0.185096984007
Bei89	1986	1.51957053472	0.089968674933
Bei89	1987	0.591751334632	0.40426900432
Bei89	1988	0.825156153101	0.199048297994
Bei89	1989	0.923431866141	0.145351739771
Bei89	1990	1.13816831436	0.221866953571
Bei89	1991	1.20545605728	0.304989027308
Bei89	1992	0.0375516709568	0.330371084689
Bei89	1993	-0.611284258906	2.39436855239e-17
Bei89	1994	-0.608775583892	0.00879851947095
Bei89	1995	-0.619345400355	0.0176280767542
Bei89	1996	-0.635451204113	0.0151880443749
Bei89	1997	-0.778966173986	0.0252149010097
Bei89	1998	-0.921608207341	0.0100735416452
Bei89	1999	-0.940831262203	0.00628302309217
Bei89	2000	-0.935238681209	0.00837409103414
Bei89	2001	-0.934548239111	0.0125660461843
Bei89	2002	-0.953776611483	0.00311906586232
Bei89	2003	-1.25295388302	0.00716498160347
Bei89	2004	-0.982448287414	0.00867309127678
Bei89	2005	-0.938949720268	0.00319591779089
Bei89	2006	-0.972189835322	0.00595980578899
Bei89	2007	-0.979943450713	0.000335517327754
Bei89	2008	-0.934714256048	0.0060579766649
Bei89	2009	-0.173447326089	0.0172714970951
Bei89	2010	0.201091024289	0.00217033711984
Bei89	2011	0.205331207592	0.00119530306753
Bei89	2012	0.203437222192	0.000967510841032
Bei89	2013	0.201019806077	0.00189035672349
Bei89	2014	0.142927766684	0.00237558757488
Bei89	2015	0.0646403667713	0.0018865300917
Bei89	2016	0.0943957360164	0.00198136189148
Bei89	2017	0.0653604934869	0.00125687956551
Bei89	2018	0.0978865439365	0.00262303558836
